"logdate","log"
"2024-09-27 12:59:20.0 IST","Submitting threads. Count: 1"
"2024-09-27 12:59:20.0 IST","Log tracking info - pagescopeid : 1803 request id : 7f9023c2-e021-4539-87d7-d258b72f4230 endpoint : Profiling for schema : teradata.Sys_Calendar"
"2024-09-27 12:59:26.0 IST","Started profiling table : CALDATES"
"2024-09-27 12:59:26.0 IST","Table: CALDATES rowcount updated, count : 73414"
"2024-09-27 12:59:29.0 IST","CALDATES 1 out of  1 columns processed."
"2024-09-27 12:59:29.0 IST","Column Relations count : 0"
"2024-09-27 12:59:29.0 IST","Table CALDATES profiled successfully, took : 3 secs. 1 table out of 15 tables completed."
"2024-09-27 12:59:29.0 IST","Started profiling table : CALENDAR_TD1310"
"2024-09-27 12:59:29.0 IST","Table: CALENDAR_TD1310 rowcount updated, count : 73414"
"2024-09-27 12:59:31.0 IST","CALENDAR_TD1310 1 out of  15 columns processed."
"2024-09-27 12:59:34.0 IST","CALENDAR_TD1310 2 out of  15 columns processed."
"2024-09-27 12:59:35.0 IST","CALENDAR_TD1310 3 out of  15 columns processed."
"2024-09-27 12:59:35.0 IST","CALENDAR_TD1310 4 out of  15 columns processed."
"2024-09-27 12:59:36.0 IST","CALENDAR_TD1310 5 out of  15 columns processed."
"2024-09-27 12:59:36.0 IST","CALENDAR_TD1310 6 out of  15 columns processed."
"2024-09-27 12:59:37.0 IST","CALENDAR_TD1310 7 out of  15 columns processed."
"2024-09-27 12:59:37.0 IST","CALENDAR_TD1310 8 out of  15 columns processed."
"2024-09-27 12:59:37.0 IST","CALENDAR_TD1310 9 out of  15 columns processed."
"2024-09-27 12:59:38.0 IST","CALENDAR_TD1310 10 out of  15 columns processed."
"2024-09-27 12:59:39.0 IST","CALENDAR_TD1310 11 out of  15 columns processed."
"2024-09-27 12:59:39.0 IST","CALENDAR_TD1310 12 out of  15 columns processed."
"2024-09-27 12:59:40.0 IST","CALENDAR_TD1310 13 out of  15 columns processed."
"2024-09-27 12:59:40.0 IST","CALENDAR_TD1310 14 out of  15 columns processed."
"2024-09-27 12:59:41.0 IST","CALENDAR_TD1310 15 out of  15 columns processed."
"2024-09-27 12:59:41.0 IST","Column Relations count : 0"
"2024-09-27 12:59:41.0 IST","Table CALENDAR_TD1310 profiled successfully, took : 11 secs. 2 table out of 15 tables completed."
"2024-09-27 12:59:41.0 IST","Started profiling table : BusinessCalendar"
"2024-09-27 12:59:44.0 IST","Table: BusinessCalendar rowcount updated, count : 73414"
"2024-09-27 12:59:57.0 IST","BusinessCalendar 1 out of  33 columns processed."
"2024-09-27 12:59:57.0 IST","BusinessCalendar 1 out of  33 columns processed and took 13 seconds to complete."
"2024-09-27 13:00:11.0 IST","BusinessCalendar 2 out of  33 columns processed."
"2024-09-27 13:00:11.0 IST","BusinessCalendar 2 out of  33 columns processed and took 13 seconds to complete."
"2024-09-27 13:00:35.0 IST","BusinessCalendar 3 out of  33 columns processed."
"2024-09-27 13:00:35.0 IST","BusinessCalendar 3 out of  33 columns processed and took 24 seconds to complete."
"2024-09-27 13:00:59.0 IST","BusinessCalendar 4 out of  33 columns processed."
"2024-09-27 13:00:59.0 IST","BusinessCalendar 4 out of  33 columns processed and took 23 seconds to complete."
"2024-09-27 13:01:15.0 IST","BusinessCalendar 5 out of  33 columns processed."
"2024-09-27 13:01:15.0 IST","BusinessCalendar 5 out of  33 columns processed and took 16 seconds to complete."
